date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:47	103525/103525	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:48%20GMT	https://www.gokulshreeschool.com/	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/index.html	(from )
16:58:47	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Feb%202026%2011:28:48%20GMT	https://www.gokulshreeschool.com/robots.txt		(from )
16:58:48	36673/36673	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Oct%202021%2014:32:18%20GMT	https://www.gokulshreeschool.com/images/favicon.png	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/images/favicon.png	(from https://www.gokulshreeschool.com/)
16:58:48	117308/117308	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Oct%202021%2014:07:24%20GMT	https://www.gokulshreeschool.com/css/bootstrap.css	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/css/bootstrap.css	(from https://www.gokulshreeschool.com/)
16:58:48	79689/79689	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Oct%202021%2014:07:24%20GMT	https://www.gokulshreeschool.com/css/revolution-slider.css	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/css/revolution-slider.css	(from https://www.gokulshreeschool.com/)
16:58:48	147980/147980	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Oct%202021%2014:07:24%20GMT	https://www.gokulshreeschool.com/css/style.css	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/css/style.css	(from https://www.gokulshreeschool.com/)
16:58:49	18234/18234	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20Oct%202021%2014:07:24%20GMT	https://www.gokulshreeschool.com/css/responsive.css	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/css/responsive.css	(from https://www.gokulshreeschool.com/)
16:58:49	36549/36549	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:50%20GMT	https://www.gokulshreeschool.com/contact-us.php	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/contact-us.html	(from https://www.gokulshreeschool.com/)
16:58:49	88443/88443	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:50%20GMT	https://www.gokulshreeschool.com/franchise.php	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/franchise.html	(from https://www.gokulshreeschool.com/)
16:58:50	66246/66246	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:50%20GMT	https://www.gokulshreeschool.com/franchise-enquiry.php	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/franchise-enquiry.html	(from https://www.gokulshreeschool.com/)
16:58:50	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2005%20Feb%202026%2011:28:51%20GMT	https://www.gokulshreeschool.com/new	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/new	(from https://www.gokulshreeschool.com/)
16:58:50	33735/33735	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:51%20GMT	https://www.gokulshreeschool.com/login.php	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/login.html	(from https://www.gokulshreeschool.com/)
16:58:50	103525/103525	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:51%20GMT	https://www.gokulshreeschool.com/index.php	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/index-2.html	(from https://www.gokulshreeschool.com/)
16:58:51	85706/85706	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Dec%202021%2011:18:46%20GMT	https://www.gokulshreeschool.com/images/head.png	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/images/head.png	(from https://www.gokulshreeschool.com/)
16:58:51	32950/32950	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:52%20GMT	https://www.gokulshreeschool.com/page.php?id=TXpVPQ==	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/pagec19e.html	(from https://www.gokulshreeschool.com/)
16:58:51	31873/31873	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:52%20GMT	https://www.gokulshreeschool.com/page.php?id=TXpZPQ==	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/page4843.html	(from https://www.gokulshreeschool.com/)
16:58:51	31894/31894	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:52%20GMT	https://www.gokulshreeschool.com/page.php?id=TXpjPQ==	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/pagecc0c.html	(from https://www.gokulshreeschool.com/)
16:58:52	37264/37264	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Feb%202026%2011:28:53%20GMT	https://www.gokulshreeschool.com/page.php?id=TVRnPQ==	c:/Users/mevis/-GM-/_site_mirror/www.gokulshreeschool.com/pageca5d.html	(from https://www.gokulshreeschool.com/)
